target_variant,model_type,threshold,selected_count,selected_rate,precision,recall,f1
top_price_only,Random Forest,0.3,481,0.7168405365126677,0.3076923076923077,0.8809523809523809,0.4560862865947612
top_price_only,Random Forest,0.4,347,0.5171385991058122,0.3688760806916426,0.7619047619047619,0.4970873786407767
top_price_only,Random Forest,0.5,185,0.2757078986587183,0.5135135135135135,0.5654761904761905,0.5382436260623229
top_price_only,Random Forest,0.6,108,0.16095380029806258,0.6481481481481481,0.4166666666666667,0.5072463768115942
top_price_only,Random Forest,0.7,68,0.10134128166915052,0.6323529411764706,0.25595238095238093,0.3644067796610169
top_price_plus_good_price,HistGradientBoosting,0.3,443,0.6602086438152012,0.6252821670428894,0.8419452887537994,0.7176165803108808
top_price_plus_good_price,HistGradientBoosting,0.4,378,0.563338301043219,0.671957671957672,0.7720364741641338,0.7185289957567186
top_price_plus_good_price,HistGradientBoosting,0.5,324,0.4828614008941878,0.7222222222222222,0.7112462006079028,0.7166921898928025
top_price_plus_good_price,HistGradientBoosting,0.6,259,0.3859910581222057,0.7567567567567568,0.5957446808510638,0.6666666666666666
top_price_plus_good_price,HistGradientBoosting,0.7,188,0.28017883755588674,0.7872340425531915,0.44984802431610943,0.5725338491295938
